Title,Year,Rating,Votes,Stars
Sex Education,2019– ,8.3,293664,"['Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']"
Community,2009–2015,8.5,272723,"['Danny Pudi', 'Donald Glover', 'Chevy Chase']"
Firefly,2002–2003,9,269662,"['Gina Torres', 'Alan Tudyk', 'Morena Baccarin']"
Two and a Half Men,2003–2015,7.1,268502,"['Ashton Kutcher', 'Angus T. Jones', 'Conchata Ferrell']"
You,2018– ,7.7,267926,"['Victoria Pedretti', 'Tati Gabrielle', 'Ambyr Childers']"
Parks and Recreation,2009–2015,8.6,266504,"[""Jim O'Heir"", 'Nick Offerman', 'Chris Pratt']"
Scrubs,2001–2010,8.4,260218,"['Donald Faison', 'Sarah Chalke', 'John C. McGinley']"
Hannibal,2013–2015,8.5,259772,"['Mads Mikkelsen', 'Caroline Dhavernas', 'Laurence Fishburne']"
The 100,2014–2020,7.6,258106,"['Bob Morley', 'Marie Avgeropoulos', 'Isaiah Washington']"
The Blacklist,2013–2023,8,256407,"['Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']"
The Umbrella Academy,2019–2023,7.9,255036,"['Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']"
True Blood,2008–2014,7.9,249980,"['Stephen Moyer', 'Sam Trammell', 'Ryan Kwanten']"
Shameless,2011–2021,8.6,249829,"['William H. Macy', 'Ethan Cutkosky', 'Jeremy Allen White']"
Fringe,2008–2013,8.4,246880,"['Joshua Jackson', 'John Noble', 'Jasika Nicole']"
Spartacus,2010–2013,8.5,245986,"['Lucy Lawless', 'Manu Bennett', 'Daniel Feuerriegel']"
Heroes,II) (2006–2010,7.5,244573,"['Hayden Panettiere', 'Milo Ventimiglia', 'Masi Oka']"
The Handmaid's Tale,2017– ,8.4,244570,"['Yvonne Strahovski', 'Ann Dowd', 'O-T Fagbenle']"
Mad Men,2007–2015,8.7,244520,"['Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']"
The Punisher,2017–2019,8.5,243765,"['Amber Rose Revah', 'Ben Barnes', 'Jason R. Moore']"
Futurama,1999–2023,8.5,243192,"['John DiMaggio', 'Katey Sagal', 'Tress MacNeille']"
Ted Lasso,2020– ,8.8,237173,"['Brett Goldstein', 'Brendan Hunt', 'Nick Mohammed']"
Gotham,2014–2019,7.8,233426,"['Jada Pinkett Smith', 'Donal Logue', 'Camren Bicondova']"
It's Always Sunny in Philadelphia,2005– ,8.8,231701,"['Rob McElhenney', 'Kaitlin Olson', 'Glenn Howerton']"
The X-Files,1993–2018,8.6,231591,"['Gillian Anderson', 'Mitch Pileggi', 'William B. Davis']"
New Girl,2011–2018,7.8,230603,"['Jake Johnson', 'Max Greenfield', 'Hannah Simone']"
Doctor Who,2005– ,8.6,229650,"['Peter Capaldi', 'Pearl Mackie', 'Matt Smith']"
Once Upon a Time,2011–2018,7.7,228024,"['Jennifer Morrison', 'Lana Parrilla', 'Robert Carlyle']"
The Crown,2016–2023,8.6,227355,"['Olivia Colman', 'Imelda Staunton', 'Matt Smith']"
Arcane,2021– ,9,220715,"['Kevin Alejandro', 'Jason Spisak', 'Terri Douglas']"
Agents of S.H.I.E.L.D.,2013–2020,7.5,219536,"['Ming-Na Wen', 'Brett Dalton', 'Iain De Caestecker']"
Jessica Jones,2015–2019,7.9,217901,"['Rachael Taylor', 'Eka Darville', 'Carrie-Anne Moss']"
Downton Abbey,2010–2015,8.7,211361,"['Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']"
Big Little Lies,2017–2019,8.5,206352,"['Nicole Kidman', 'Shailene Woodley', 'Zoë Kravitz']"
Criminal Minds,2005– ,8.1,205204,"['Matthew Gray Gubler', 'A.J. Cook', 'Joe Mantegna']"
Twin Peaks,1990–1991,8.8,202073,"['Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook']"
The End of the F***ing World,2017–2019,8,198934,"['Alex Lawther', 'Steve Oram', 'Christine Bottomley']"
Euphoria,2019– ,8.4,198323,"['Hunter Schafer', 'Angus Cloud', 'Jacob Elordi']"
Boardwalk Empire,2010–2014,8.6,193160,"['Kelly Macdonald', 'Michael Shannon', 'Shea Whigham']"
Cobra Kai,2018–2023,8.5,191296,"['William Zabka', 'Courtney Henggeler', 'Xolo Maridueña']"
24,2001–2010,8.4,189647,"['Mary Lynn Rajskub', 'Carlos Bernard', 'Dennis Haysbert']"
The Mentalist,2008–2015,8.1,189058,"['Robin Tunney', 'Tim Kang', 'Owain Yeoman']"
Californication,2007–2014,8.3,183506,"['Natascha McElhone', 'Evan Handler', 'Pamela Adlon']"
That '70s Show,1998–2006,8.1,181355,"['Laura Prepon', 'Mila Kunis', 'Danny Masterson']"
Person of Interest,2011–2016,8.5,179912,"['Taraji P. Henson', 'Kevin Chapman', 'Michael Emerson']"
Gossip Girl,2007–2012,7.5,179152,"['Leighton Meester', 'Penn Badgley', 'Ed Westwick']"
Altered Carbon,2018–2020,7.9,175507,"['Chris Conner', 'Dichen Lachman', 'Martha Higareda']"
"Love, Death & Robots",2019– ,8.4,175502,"['Scott Whyte', 'Nolan North', 'Noshir Dalal']"
Rome,2005–2007,8.7,175125,"['Ray Stevenson', 'Polly Walker', 'Kerry Condon']"
She-Hulk: Attorney at Law,2022,5.2,173634,"['Ginger Gonzaga', 'Malia Arrayah', 'Jameela Jamil']"
Entourage,2004–2011,8.5,171532,"['Adrian Grenier', 'Kevin Dillon', 'Jerry Ferrara']"
Pretty Little Liars,2010–2017,7.4,170698,"['Ashley Benson', 'Lucy Hale', 'Shay Mitchell']"
Battlestar Galactica,2004–2009,8.7,168628,"['Mary McDonnell', 'Jamie Bamber', 'James Callis']"
Yellowstone,2018–2023,8.7,168011,"['Luke Grimes', 'Kelly Reilly', 'Wes Bentley']"
Fleabag,2016–2019,8.7,167837,"['Sian Clifford', 'Olivia Colman', 'Jenny Rainsford']"
The Good Place,2016–2020,8.2,167835,"['William Jackson Harper', 'Jameela Jamil', ""D'Arcy Carden""]"
One Punch Man,2015–2019,8.7,166385,"['Kaito Ishikawa', 'Max Mittelman', 'Zach Aguilar']"
Castle,2009–2016,8.1,165685,"['Stana Katic', 'Susan Sullivan', 'Jon Huertas']"
BoJack Horseman,2014–2020,8.8,165155,"['Amy Sedaris', 'Alison Brie', 'Aaron Paul']"
Bones,2005–2017,7.8,164387,"['David Boreanaz', 'Michaela Conlin', 'T.J. Thyne']"
Outlander,2014– ,8.4,163640,"['Sam Heughan', 'Sophie Skelton', 'Richard Rankin']"
Succession,2018–2023,8.8,162681,"['Brian Cox', 'Kieran Culkin', 'Peter Friedman']"
The Book of Boba Fett,2021–2022,7.3,160959,"['Ming-Na Wen', 'Frank Trigg', 'Collin Hymes']"
The White Lotus,2021–2023,7.9,159357,"['Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']"
The Expanse,2015–2022,8.5,158519,"['Dominique Tipper', 'Wes Chatham', 'Shohreh Aghdashloo']"
Archer,2009– ,8.6,157893,"['Judy Greer', 'Amber Nash', 'Chris Parnell']"
Sense8,2015–2018,8.2,156899,"['Jamie Clayton', 'Tina Desai', 'Tuppence Middleton']"
The IT Crowd,2006–2013,8.5,156031,"['Richard Ayoade', 'Katherine Parkinson', 'Matt Berry']"
How to Get Away with Murder,2014–2020,8.1,155813,"['Billy Brown', 'Jack Falahee', 'Aja Naomi King']"
Silicon Valley,2014–2019,8.5,154389,"['T.J. Miller', 'Josh Brener', 'Martin Starr']"
Teen Wolf,2011–2017,7.7,154167,"['Holland Roden', ""Dylan O'Brien"", 'Linden Ashby']"
The Sandman,2022– ,7.7,153585,"['Boyd Holbrook', 'Patton Oswalt', 'Vivienne Acheampong']"
NCIS,2003– ,7.8,152061,"['Sean Murray', 'Mark Harmon', 'Pauley Perrette']"
Glee,2009–2015,6.8,150694,"['Jane Lynch', 'Matthew Morrison', 'Cory Monteith']"
Buffy the Vampire Slayer,1997–2003,8.3,150645,"['Nicholas Brendon', 'Alyson Hannigan', 'Anthony Head']"
This Is Us,2016–2022,8.7,147935,"['Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']"
Invincible,2021– ,8.7,147718,"['J.K. Simmons', 'Sandra Oh', 'Zazie Beetz']"
Riverdale,2017– ,6.6,147347,"['Camila Mendes', 'Cole Sprouse', 'K.J. Apa']"
Tom Clancy's Jack Ryan,2018– ,8,146394,"['Wendell Pierce', 'Michael Kelly', 'John Hoogenakker']"
The Last Kingdom,2015–2022,8.5,146391,"['Eliza Butterworth', 'Arnas Fedaravicius', 'Mark Rowley']"
Freaks and Geeks,1999–2000,8.8,145669,"['John Francis Daley', 'James Franco', 'Samm Levine']"
Severance,2022– ,8.7,143294,"['Zach Cherry', 'Britt Lower', 'Tramell Tillman']"
Bridgerton,2020– ,7.4,143053,"['Luke Thompson', 'Jonathan Bailey', 'Bessie Carter']"
Luther,2010–2019,8.4,142853,"['Dermot Crowley', 'Michael Smiley', 'Warren Brown']"
Taboo,2017,8.3,141517,"['David Hayman', 'Jonathan Pryce', 'Oona Chaplin']"
Chuck,2007–2012,8.2,140981,"['Yvonne Strahovski', 'Joshua Gomez', 'Vik Sahay']"
After Life,2019–2022,8.4,140849,"['Tom Basden', 'Tony Way', 'Diane Morgan']"
The Originals,2013–2018,8.3,139333,"['Daniel Gillies', 'Claire Holt', 'Phoebe Tonkin']"
The Fresh Prince of Bel-Air,1990–1996,7.9,138039,"['James Avery', 'Alfonso Ribeiro', 'Tatyana Ali']"
Six Feet Under,2001–2005,8.7,137753,"['Michael C. Hall', 'Frances Conroy', 'Lauren Ambrose']"
Dragon Ball Z,1989–1996,8.8,135050,"['Christopher Sabat', 'Scott McNeil', 'Sean Schemmel']"
Malcolm in the Middle,2000–2006,8.1,134547,"['Bryan Cranston', 'Justin Berfield', 'Erik Per Sullivan']"
White Collar,2009–2014,8.2,134247,"['Tim DeKay', 'Willie Garson', 'Tiffani Thiessen']"
Luke Cage,2016–2018,7.3,133869,"['Simone Missick', 'Theo Rossi', 'Alfre Woodard']"
Iron Fist,2017–2018,6.4,133821,"['Jessica Henwick', 'Jessica Stroup', 'Tom Pelphrey']"
Reacher,2022– ,8.1,133319,"['Malcolm Goodwin', 'Willa Fitzgerald', 'Hugh Thompson']"
Fear the Walking Dead,2015–2023,6.8,133191,"['Frank Dillane', 'Cliff Curtis', 'Rubén Blades']"
Curb Your Enthusiasm,2000– ,8.8,132493,"['Cheryl Hines', 'Jeff Garlin', 'Susie Essman']"
Gilmore Girls,2000–2007,8.2,132387,"['Alexis Bledel', 'Keiko Agena', 'Scott Patterson']"
Desperate Housewives,2004–2012,7.6,131759,"['Felicity Huffman', 'Marcia Cross', 'Eva Longoria']"
