Title,Year,Rating,Votes,Stars
Agent Carter,2015–2016,7.9,85384,"[""James D'Arcy"", 'Enver Gjokaj', 'Chad Michael Murray']"
CSI: Crime Scene Investigation,2000–2015,7.7,85321,"['Laurence Fishburne', 'Ted Danson', 'George Eads']"
Revolution,2012–2014,6.6,84527,"['Tracy Spiridakos', 'Giancarlo Esposito', 'Zak Orth']"
Terra Nova,2011,6.7,84435,"['Shelley Conn', 'Christine Adams', 'Allison Miller']"
Bob's Burgers,2011– ,8.2,84431,"['Dan Mintz', 'Eugene Mirman', 'John Roberts']"
The King of Queens,1998–2007,7.4,84251,"['Leah Remini', 'Jerry Stiller', 'Patton Oswalt']"
Merlin,2008–2012,7.9,83727,"['Colin Morgan', 'Bradley James', 'Richard Wilson']"
The Strain,2014–2017,7.3,83014,"['David Bradley', 'Kevin Durand', 'Jonathan Hyde']"
Big Mouth,2017– ,7.9,82659,"['John Mulaney', 'Jessi Klein', 'Jason Mantzoukas']"
The Shield,2002–2008,8.7,82624,"['Walton Goggins', 'Michael Jace', 'Jay Karnes']"
One Tree Hill,2003–2012,7.8,82613,"['James Lafferty', 'Hilarie Burton', 'Bethany Joy Lenz']"
What We Do in the Shadows,2019– ,8.6,82523,"['Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']"
Tiger King,2020–2021,7.5,82031,"['Carole Baskin', 'John Reinke', 'Jeff Lowe']"
Raised by Wolves,2020–2022,7.5,81070,"['Amanda Collin', 'Abubakar Salim', 'Winta McGrath']"
Good Omens,2019–2023,8,81023,"['Michael Sheen', 'Frances McDormand', 'Sam Taylor Buck']"
Louie,2010–2015,8.5,79991,"['Hadley Delany', 'Ursula Parker', 'Pamela Adlon']"
The West Wing,1999–2006,8.9,79313,"['Rob Lowe', 'Allison Janney', 'John Spencer']"
Star Trek: Picard,2020–2023,7.3,78413,"['Michelle Hurd', 'Jeri Ryan', 'Alison Pill']"
Atlanta,2016–2022,8.6,78316,"['Brian Tyree Henry', 'LaKeith Stanfield', 'Zazie Beetz']"
His Dark Materials,2019–2022,7.8,78234,"['Kit Connor', 'Ruth Wilson', 'Amir Wilson']"
The Good Wife,2009–2016,8.4,77870,"['Chris Noth', 'Josh Charles', 'Matt Czuchry']"
Monk,2002–2009,8,77661,"['Jason Gray-Stanford', 'Ted Levine', 'Traylor Howard']"
Da Vinci's Demons,2013–2015,7.9,77604,"['Gregg Chilingirian', 'Eros Vlahos', 'Laura Haddock']"
The Grand Tour,2016– ,8.7,77590,"['James May', 'Richard Hammond', 'Abbie Eaton']"
Preacher,2016–2019,7.9,76920,"['Joe Gilgun', 'Ruth Negga', 'Ian Colletti']"
The Tudors,2007–2010,8.1,76794,"['Henry Cavill', 'Anthony Brophy', 'James Frain']"
Burn Notice,2007–2013,8,76032,"['Gabrielle Anwar', 'Bruce Campbell', 'Sharon Gless']"
Monty Python's Flying Circus,1969–1974,8.8,75795,"['John Cleese', 'Terry Gilliam', 'Eric Idle']"
Scandal,2012–2018,7.7,75622,"['Darby Stanchfield', 'Katie Lowes', 'Guillermo Diaz']"
Blindspot,2015–2020,7.3,75606,"['Jaimie Alexander', 'Audrey Esparza', 'Ashley Johnson']"
Ash vs Evil Dead,2015–2018,8.4,75377,"['Ray Santiago', 'Dana DeLorenzo', 'Lucy Lawless']"
Hawaii Five-0,2010–2020,7.4,75172,"['Scott Caan', 'Taylor Wily', 'Daniel Dae Kim']"
Veronica Mars,2004–2019,8.4,74943,"['Jason Dohring', 'Enrico Colantoni', 'Percy Daggs III']"
Bosch,2014–2021,8.5,74638,"['Jamie Hector', 'Amy Aquino', 'Lance Reddick']"
Marco Polo,2014–2016,8,74529,"['Benedict Wong', 'Joan Chen', 'Remy Hii']"
Master of None,2015–2021,8.2,74240,"['Eric Wareheim', 'Lena Waithe', 'Noël Wells']"
Unbreakable Kimmy Schmidt,2015–2020,7.6,74171,"['Jane Krakowski', 'Tituss Burgess', 'Carol Kane']"
Girls,2012–2017,7.4,74028,"['Allison Williams', 'Jemima Kirke', 'Adam Driver']"
Everybody Loves Raymond,1996–2005,7.2,72891,"['Patricia Heaton', 'Brad Garrett', 'Doris Roberts']"
Carnival Row,2019–2023,7.8,72549,"['Cara Delevingne', 'Simon McBurney', 'Tamzin Merchant']"
Angel,1999–2004,7.9,72152,"['Charisma Carpenter', 'Alexis Denisof', 'J. August Richards']"
Manifest,2018– ,7.1,71582,"['Josh Dallas', 'J.R. Ramirez', 'Luna Blaise']"
Star Trek: Voyager,1995–2001,7.8,71503,"['Robert Beltran', 'Roxann Dawson', 'Robert Duncan McNeill']"
Velma,2023– ,1.5,71039,"['Glenn Howerton', 'Sam Richardson', 'Constance Wu']"
Santa Clarita Diet,2017–2019,7.8,70661,"['Timothy Olyphant', 'Liv Hewson', 'Skyler Gisondo']"
iZombie,2015–2019,7.8,70144,"['Malcolm Goodwin', 'Rahul Kohli', 'Robert Buckley']"
Twin Peaks,2017,8.5,69894,"['Sheryl Lee', 'Michael Horse', 'Chrysta Bell']"
TVF Pitchers,2015–2022,9.1,69825,"['Arunabh Kumar', 'Abhay Mahajan', 'Gopal Datt']"
Castlevania,2017–2021,8.3,69159,"['James Callis', 'Alejandra Reynoso', 'Theo James']"
Limitless,2015–2016,7.6,68895,"['Jennifer Carpenter', 'Hill Harper', 'Mary Elizabeth Mastrantonio']"
Upload,2020– ,7.9,68866,"['Andy Allo', 'Allegra Edwards', 'Zainab Johnson']"
Ginny & Georgia,2021– ,7.5,68426,"['Antonia Gentry', 'Diesel La Torraca', 'Felix Mallard']"
Stargate: Atlantis,2004–2009,8.1,68403,"['Rachel Luttrell', 'David Hewlett', 'Jason Momoa']"
Young Sheldon,2017– ,7.6,68321,"['Zoe Perry', 'Lance Barber', 'Montana Jordan']"
Friday Night Lights,2006–2011,8.7,68303,"['Connie Britton', 'Zach Gilford', 'Aimee Teegarden']"
The Watcher,2022– ,6.5,67499,"['Bobby Cannavale', 'Mia Farrow', 'Terry Kinney']"
My Hero Academia,2016– ,8.3,67371,"['Justin Briner', 'Nobuhiko Okamoto', 'Ayane Sakura']"
Space Force,2020–2022,6.7,66949,"['John Malkovich', 'Ben Schwartz', 'Diana Silvers']"
Chappelle's Show,2003–2006,8.8,66903,"['Donnell Rawlings', 'Rudy Rush', 'Charlie Murphy']"
The Peripheral,2022– ,7.6,66390,"['Gary Carr', 'Jack Reynor', 'JJ Feild']"
I Am Not Okay with This,2020,7.5,66007,"['Wyatt Oleff', 'Sofia Bryant', 'Kathleen Rose Perkins']"
Shadowhunters,2016–2019,6.5,65744,"['Dominic Sherwood', 'Alberto Rosende', 'Matthew Daddario']"
Halo,2022– ,7.1,65357,"['Shabana Azmi', 'Natasha Culzac', 'Olive Gray']"
Star Trek: Deep Space Nine,1993–1999,8.1,65255,"['Rene Auberjonois', 'Cirroc Lofton', 'Alexander Siddig']"
Steins;Gate,2011–2015,8.8,65155,"['Asami Imai', 'Kana Hanazawa', 'Ashly Burch']"
Disenchantment,2018– ,7.2,64592,"['Eric André', 'Nat Faxon', 'John DiMaggio']"
Outer Banks,2020– ,7.5,63601,"['Madison Bailey', 'Chase Stokes', 'J.D.']"
ER,1994–2009,7.9,63381,"['George Clooney', 'Julianna Margulies', 'Eriq La Salle']"
A Series of Unfortunate Events,2017–2019,7.8,63081,"['Patrick Warburton', 'Malina Pauli Weissman', 'Louis Hynes']"
Foundation,2021– ,7.4,63079,"['Jared Harris', 'Lee Pace', 'Leah Harvey']"
Flight of the Conchords,2007–2009,8.6,62934,"['Bret McKenzie', 'Rhys Darby', 'Kristen Schaal']"
Line of Duty,2012–2021,8.7,62374,"['Vicky McClure', 'Adrian Dunbar', 'Craig Parkinson']"
Never Have I Ever,2020–2023,7.8,62252,"['Poorna Jagannathan', 'Darren Barnet', 'John McEnroe']"
Peep Show,2003–2015,8.7,62200,"['Robert Webb', 'Matt King', 'Olivia Colman']"
Sleepy Hollow,2013–2017,7.3,62103,"['Lyndie Greenwood', 'Nicole Beharie', 'Orlando Jones']"
Ratched,2020– ,7.3,61880,"['Finn Wittrock', 'Cynthia Nixon', 'Judy Davis']"
Continuum,I) (2012–2015,7.6,61839,"['Victor Webster', 'Erik Knudsen', 'Stephen Lobo']"
Quantico,2015–2018,6.7,61783,"['Jake McLaughlin', 'Johanna Braddy', 'Aunjanue Ellis']"
The Shannara Chronicles,2016–2017,7.1,61779,"['Ivana Baquero', 'Manu Bennett', 'Aaron Jakubenko']"
Flashforward,2009–2010,7.6,61282,"['Joseph Fiennes', 'Jack Davenport', 'Zachary Knighton']"
Superstore,2015–2021,7.8,61280,"['Lauren Ash', 'Colton Dunn', 'Nico Santos']"
Manhunt,II) (2017–2020,8.1,61173,"['Arliss Howard', 'Kelly Jenrette', 'Cameron Britton']"
Terminator: The Sarah Connor Chronicles,2008–2009,7.6,61116,"['Thomas Dekker', 'Summer Glau', 'Richard T. Jones']"
The Last Man on Earth,2015–2018,7.3,60469,"['January Jones', 'Cleopatra Coleman', 'Kristen Schaal']"
The Last Ship,2014–2018,7.4,60440,"['Adam Baldwin', 'Charles Parnell', 'Travis Van Winkle']"
Full House,1987–1995,6.8,60173,"['John Stamos', 'Dave Coulier', 'Candace Cameron Bure']"
Black Books,2000–2004,8.5,59947,"['Bill Bailey', 'Tamsin Greig', 'Paul Beech']"
Eastbound & Down,2009–2013,8.3,59885,"['Steve Little', 'Katy Mixon', 'Elizabeth De Razzo']"
Chicago Fire,2012– ,8,59284,"['Christian Stolte', 'Eamonn Walker', 'Joe Minoso']"
M*A*S*H,1972–1983,8.4,59252,"['Wayne Rogers', 'Loretta Swit', 'Jamie Farr']"
Forever,2014–2015,8.2,58949,"['Alana De La Garza', 'Joel David Moore', 'Donnie Keshawarz']"
Travelers,2016–2018,8,58904,"['MacKenzie Porter', 'Nesta Cooper', 'Jared Abrahamson']"
CSI: Miami,2002–2012,6.4,58706,"['Emily Procter', 'Adam Rodriguez', 'Rex Linn']"
Anne with an E,2017–2019,8.7,58229,"['Geraldine James', 'R.H. Thomson', 'Dalila Bela']"
Extras,2005–2007,8.3,58201,"['Ashley Jensen', 'Stephen Merchant', 'Shaun Williamson']"
The Flight Attendant,2020–2022,7.1,58186,"['Zosia Mamet', 'Griffin Matthews', 'Rosie Perez']"
Veep,2012–2019,8.4,58125,"['Tony Hale', 'Anna Chlumsky', 'Reid Scott']"
Pushing Daisies,2007–2009,8.4,57809,"['Anna Friel', 'Chi McBride', 'Jim Dale']"
Cheers,1982–1993,7.9,57476,"['Rhea Perlman', 'John Ratzenberger', 'George Wendt']"
Wayward Pines,2015–2016,7.3,57351,"['Toby Jones', 'Shannyn Sossamon', 'Hope Davis']"
Will & Grace,1998–2020,7.3,57280,"['Debra Messing', 'Megan Mullally', 'Sean Hayes']"
Jericho,2006–2008,7.9,57263,"['Lennie James', 'Ashley Scott', 'Kenneth Mitchell']"
V,2009–2011,6.8,57159,"['Morris Chestnut', 'Joel Gretsch', 'Logan Huffman']"
Snowpiercer,2020–2023,6.9,57028,"['Mickey Sumner', 'Alison Wright', 'Iddo Goldberg']"
Heartstopper,2022– ,8.7,57019,"['Kit Connor', 'Yasmin Finney', 'William Gao']"
Nip/Tuck,2003–2010,7.7,56928,"['Julian McMahon', 'Joely Richardson', 'John Hensley']"
Your Honor,II) (2020–2023,7.6,56287,"['Hope Davis', 'Michael Stuhlbarg', 'Lilli Kay']"
The Alienist,2018–2020,7.7,56086,"['Dakota Fanning', 'Luke Evans', 'Robert Wisdom']"
Spaced,1999–2001,8.6,55551,"['Jessica Hynes', 'Julia Deakin', 'Nick Frost']"
Scorpion,2014–2018,7,55545,"['Katharine McPhee', 'Eddie Kaye Thomas', 'Jadyn Wong']"
Doom Patrol,2019–2023,7.8,55427,"['April Bowlby', 'Matt Bomer', 'Brendan Fraser']"
Eureka,2006–2012,7.9,55326,"['Salli Richardson-Whitfield', 'Erica Cerra', 'Neil Grayston']"
Samurai Jack,2001–2017,8.5,55244,"['Mako', 'Kevin Michael Richardson', 'Jeff Bennett']"
Cyberpunk: Edgerunners,2022,8.3,55166,"['Kenichiro Ohashi', 'Emi Lo', 'Aoi Yûki']"
A Discovery of Witches,2018–2022,7.9,55156,"['Teresa Palmer', 'Alex Kingston', 'Gregg Chilingirian']"
Blue Mountain State,2010–2011,8.3,55040,"['Alan Ritchson', 'Chris Romano', 'Ed Marinaro']"
Star Trek: Enterprise,2001–2005,7.5,55012,"['John Billingsley', 'Jolene Blalock', 'Dominic Keating']"
NCIS: Los Angeles,2009–2023,6.8,54913,"['Daniela Ruah', 'LL Cool J', 'Eric Christian Olsen']"
Warehouse 13,2009–2014,7.6,54890,"['Joanne Kelly', 'Saul Rubinek', 'Allison Scagliotti']"
Good Girls,2018–2021,7.7,54648,"['Retta', 'Mae Whitman', 'Reno Wilson']"
Bloodline,2015–2017,7.9,54598,"['Ben Mendelsohn', 'Linda Cardellini', 'Sissy Spacek']"
King of the Hill,1997–2010,7.5,54587,"['Kathy Najimy', 'Pamela Adlon', 'Johnny Hardwick']"
Constantine,2014–2015,7.5,54409,"['Harold Perrineau', 'Charles Halford', 'Angélica Celaya']"
Hart of Dixie,2011–2015,7.7,54364,"['Jaime King', 'Cress Williams', 'Wilson Bethel']"
Sweet Tooth,2021– ,7.8,54287,"['Christian Convery', 'Adeel Akhtar', 'Stefania LaVie Owen']"
All of Us Are Dead,2022– ,7.5,54284,"['Chan-Young Yoon', 'Yi-Hyun Cho', 'Park Solomon']"
Blackadder Goes Forth,1989,8.8,54113,"['Tony Robinson', 'Stephen Fry', 'Hugh Laurie']"
Yellowjackets,2021– ,7.9,53705,"['Tawny Cypress', 'Christina Ricci', 'Juliette Lewis']"
Grace and Frankie,2015–2022,8.2,53678,"['Lily Tomlin', 'Sam Waterston', 'Martin Sheen']"
Workaholics,2011–2017,8.1,53540,"['Adam Devine', 'Anders Holm', 'Maribeth Monroe']"
3rd Rock from the Sun,1996–2001,7.8,53490,"['Jane Curtin', 'Kristen Johnston', 'French Stewart']"
MythBusters,2003–2018,8.3,53362,"['Jamie Hyneman', 'Adam Savage', 'Kari Byron']"
Only Fools and Horses,1981–2003,9,53267,"['Nicholas Lyndhurst', 'Roger Lloyd Pack', 'Buster Merryfield']"
Dirk Gently's Holistic Detective Agency,2016–2017,8.2,53259,"['Elijah Wood', 'Hannah Marks', 'Jade Eshete']"
Hell on Wheels,2011–2016,8.3,53241,"['Colm Meaney', 'Robin McLeavy', 'Phil Burke']"
Jane the Virgin,2014–2019,7.9,53088,"['Andrea Navedo', 'Yael Grobglas', 'Justin Baldoni']"
The Magicians,2015–2020,7.6,52671,"['Hale Appleman', 'Arjun Gupta', 'Summer Bishil']"
Archive 81,2022,7.3,52481,"['Dina Shihabi', 'Evan Jonigkeit', 'Julia Chan']"
Happy Valley,2014–2023,8.5,52391,"['Siobhan Finneran', 'James Norton', 'Rhys Connah']"
Leverage,2008–2012,7.9,52321,"['Gina Bellman', 'Christian Kane', 'Beth Riesgraf']"
Nikita,2010–2013,7.7,52216,"['Shane West', 'Lyndsy Fonseca', 'Aaron Stanford']"
The Borgias,2011–2013,7.9,52142,"['François Arnaud', 'Holliday Grainger', 'Peter Sullivan']"
Alias,2001–2006,7.6,52045,"['Ron Rifkin', 'Carl Lumbly', 'Kevin Weisman']"
Warrior Nun,2020–2022,7,51660,"['Kristina Tonteri-Young', 'Lorena Andrea', 'Tristán Ulloa']"
Stargate Universe,2009–2011,7.6,51479,"['Louis Ferreira', 'Brian J. Smith', 'Elyse Levesque']"
Fate: The Winx Saga,2021–2022,6.8,51093,"['Hannah van der Westhuysen', 'Precious Mustapha', 'Eliot Salt']"
Reign,2013–2017,7.4,51064,"['Megan Follows', 'Celina Sinden', 'Torrance Coombs']"
Almost Human,2013–2014,7.9,50939,"['Michael Ealy', 'Minka Kelly', 'Mackenzie Crook']"
The Middle,2009–2018,7.6,50860,"['Neil Flynn', 'Charlie McDermott', 'Eden Sher']"
Goliath,2016–2021,8.1,50447,"['Nina Arianda', 'Tania Raymonde', 'Diana Hopper']"
Dexter's Laboratory,1996–2003,7.9,50443,"['Jeff Bennett', 'Christine Cavanaugh', 'Frank Welker']"
Dollhouse,2009–2010,7.7,50203,"['Harry Lennix', 'Fran Kranz', 'Tahmoh Penikett']"
Saturday Night Live,1975– ,8,50093,"['Don Pardo', 'Darrell Hammond', 'Lenny Pickett']"
The League,I) (2009–2015,8.3,49966,"['Jonathan Lajoie', 'Nick Kroll', 'Stephen Rannazzisi']"
The Knick,2014–2015,8.5,49965,"['Clive Owen', 'Jeremy Bobb', 'Juliet Rylance']"
Phineas and Ferb,2007–2024,8.1,49604,"['Dan Povenmire', 'Thomas Brodie-Sangster', 'Ashley Tisdale']"
Vikings: Valhalla,2022– ,7.3,49417,"['Leo Suter', 'Frida Gustavsson', 'Jóhannes Haukur Jóhannesson']"
Hunters,2020–2023,7.2,48756,"['Logan Lerman', 'Lena Olin', 'Josh Radnor']"
Regular Show,2009–2017,8.5,48573,"['William Salyers', 'Sam Marin', 'Mark Hamill']"
Power,I) (2014–2020,8.1,48268,"['Lela Loren', 'Naturi Naughton', 'Joseph Sikora']"
Utopia,I) (2013–2014,8.4,48053,"['Paul Higgins', 'Neil Maskell', ""Fiona O'Shaughnessy""]"
The Secret Circle,2011–2012,7.3,47934,"['Thomas Dekker', 'Phoebe Tonkin', 'Shelley Hennig']"
CSI: NY,2004–2013,6.9,47933,"['Carmine Giovinazzo', 'Hill Harper', 'Eddie Cahill']"
Justice League,2001–2004,8.6,47933,"['Phil LaMarr', 'Michael Rosenbaum', 'George Newbern']"
GLOW,2017–2019,8,47858,"['Marc Maron', 'Betty Gilpin', 'Britt Baron']"
Sword Art Online,2012– ,7.5,47729,"['Haruka Tomatsu', 'Bryce Papenbrook', 'Cherami Leigh']"
Into the Badlands,2015–2019,7.9,47637,"['Orla Brady', 'Emily Beecham', 'Aramis Knight']"
Castle Rock,2018–2019,7.5,47625,"['André Holland', 'Lizzy Caplan', 'Melanie Lynskey']"
Blackadder II,1986,8.6,47603,"['Tony Robinson', 'Tim McInnerny', 'Miranda Richardson']"
Boston Legal,2004–2008,8.5,47594,"['William Shatner', 'Candice Bergen', 'Rene Auberjonois']"
The Daily Show,1996– ,8.3,47545,"['Trevor Noah', 'Stephen Colbert', 'Roy Wood Jr.']"
Ghost Whisperer,2005–2010,6.4,47513,"['David Conrad', 'Camryn Manheim', 'Christoph Sanders']"
Poirot,1989–2013,8.6,47409,"['Hugh Fraser', 'Philip Jackson', 'Pauline Moran']"
For All Mankind,2019– ,8,47089,"['Michael Dorman', 'Wrenn Schmidt', 'Shantel VanSanten']"
Derry Girls,2018–2022,8.5,47033,"['Louisa Harland', ""Tara Lynne O'Neill"", 'Kathy Kiera Clarke']"
Courage the Cowardly Dog,1999–2002,8.3,46978,"['Thea White', 'Peter Fernandez', 'Simon Prebble']"
The Affair,2014–2019,7.9,46928,"['Ruth Wilson', 'Maura Tierney', 'Julia Goldani Telles']"
Guillermo del Toro's Cabinet of Curiosities,2022– ,7,46881,"['Kevin Keppy', 'Ben Barnes', 'F. Murray Abraham']"
Star Wars: Rebels,2014–2018,8,46583,"['Taylor Gray', 'Freddie Prinze Jr.', 'Vanessa Marshall']"
The Terror,2018–2019,7.9,46320,"['Derek Mio', 'Tobias Menzies', 'Kiki Sukezane']"
Coupling,2000–2004,8.6,46280,"['Gina Bellman', 'Sarah Alexander', 'Kate Isitt']"
Xena: Warrior Princess,1995–2001,6.7,46255,"[""Renée O'Connor"", 'Ted Raimi', 'Kevin Smith']"
Trailer Park Boys,2001–2018,8.6,45983,"['Robb Wells', 'Mike Smith', 'John Dunsworth']"
12 Monkeys,2015–2018,7.7,45970,"['Amanda Schull', 'Noah Bean', 'Barbara Sukowa']"
The 4400,2004–2007,7.3,45925,"['Joel Gretsch', 'Patrick John Flueger', 'Conchita Campbell']"
Clarkson's Farm,2021– ,9,45563,"['Kaleb Cooper', 'Charlie Ireland', 'Lisa Hogan']"
Home Improvement,1991–1999,7.2,45542,"['Earl Hindman', 'Taran Noah Smith', 'Zachery Ty Bryan']"
Carnivàle,2003–2005,8.4,45483,"['Adrienne Barbeau', 'Clancy Brown', 'Debra Christofferson']"
Final Space,2018–2021,8.2,45361,"['Tom Kenny', 'Olan Rogers', 'Tika Sumpter']"
Ballers,2015–2019,7.6,45325,"['John David Washington', 'Donovan W. Carter', 'Troy Garity']"
The Nanny,1993–1999,7,45194,"['Charles Shaughnessy', 'Daniel Davis', 'Lauren Lane']"
90210,2008–2013,6.2,45165,"['Tristan Mack Wilds', 'AnnaLynne McCord', 'Jessica Stroup']"
Blackadder the Third,1987,8.6,45100,"['Tony Robinson', 'Hugh Laurie', 'Helen Atkinson Wood']"
The Rookie,2018– ,8,45074,"['Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil""]"
Awkward.,2011–2016,7.5,44938,"['Beau Mirchoff', 'Jillian Rose Reed', 'Brett Davern']"
Tulsa King,2022– ,8.1,44931,"['Andrea Savage', 'Martin Starr', 'Jay Will']"
Batwoman,2019–2022,3.4,44813,"['Rachel Skarsten', 'Meagan Tandy', 'Nicole Kang']"
Timeless,2016–2018,7.6,44756,"['Matt Lanter', 'Malcolm Barrett', 'Paterson Joseph']"
Ugly Betty,2006–2010,6.7,44707,"['Eric Mabius', 'Tony Plana', 'Ana Ortiz']"
X-Men: The Animated Series,1992–1997,8.4,44555,"['Cal Dodd', 'Lenore Zann', 'George Buza']"
Four More Shots Please,2019–2022,5.6,44478,"['Kirti Kulhari', 'Gurbani', 'Maanvi Gagroo']"
Whose Line Is It Anyway?,1998–2007,8.5,44473,"['Colin Mochrie', 'Ryan Stiles', 'Laura Hall']"
Roseanne,1988–2018,7,44410,"['John Goodman', 'Laurie Metcalf', 'Michael Fishman']"
Messiah,2020,7.6,44383,"['Mehdi Dehbi', 'John Ortiz', 'Tomer Sisley']"
Cougar Town,2009–2015,7,44340,"['Christa Miller', 'Busy Philipps', 'Dan Byrd']"
Robot Chicken,2001– ,7.7,44318,"['Matthew Senreich', 'Breckin Meyer', 'Tom Root']"
The Great,2020– ,8.2,44236,"['Nicholas Hoult', 'Phoebe Fox', 'Sacha Dhawan']"
Boy Meets World,1993–2000,8.1,44177,"['Rider Strong', 'William Daniels', 'Betsy Randle']"
The Powerpuff Girls,1998–2004,7.3,44155,"['Elizabeth Daily', 'Tara Strong', 'Tom Kenny']"
Formula 1: Drive to Survive,2019– ,8.6,44023,"['Jack Nicholls', 'Lewis Hamilton', 'Daniel Ricciardo']"
New Amsterdam,2018–2023,8,43873,"['Janet Montgomery', 'Jocko Sims', 'Tyler Labine']"
Lovecraft Country,2020,7.1,43845,"['Jurnee Smollett', 'Courtney B. Vance', 'Michael Kenneth Williams']"
Love,2016–2018,7.7,43845,"['Paul Rust', ""Claudia O'Doherty"", 'Mike Mitchell']"
Numb3rs,2005–2010,6.9,43646,"['David Krumholtz', 'Judd Hirsch', 'Alimi Ballard']"
Virgin River,2019– ,7.4,43597,"['Tim Matheson', 'Alexandra Breckenridge', 'Colin Lawrence']"
Defiance,2013–2015,6.9,43406,"['Stephanie Leonidas', 'Julie Benz', 'Graham Greene']"
Joey,2004–2006,6,43338,"['Paulo Costanzo', 'Drea de Matteo', 'Andrea Anders']"
Dark Matter,2015–2017,7.5,43315,"['Anthony Lemke', 'Alex Mallari Jr.', 'Jodelle Ferland']"
Wilfred,2011–2014,7.8,43312,"['Jason Gann', 'Fiona Gubelmann', 'Dorian Brown Pham']"
The Golden Girls,1985–1992,8.2,43216,"['Betty White', 'Rue McClanahan', 'Estelle Getty']"
Scream Queens,2015–2016,7.1,43051,"['Lea Michele', 'Abigail Breslin', 'Keke Palmer']"
Touch,2012–2013,7.3,42975,"['David Mazouz', 'Gugu Mbatha-Raw', 'Lukas Haas']"
Dead Like Me,2003–2004,8.1,42749,"['Callum Blue', 'Jasmine Guy', 'Mandy Patinkin']"
Young Justice,2010–2022,8.6,42615,"['Danica McKellar', 'Jesse McCartney', 'Stephanie Lemelin']"
Resident Evil,2022,4.1,42564,"['Tamara Smart', 'Siena Agudong', 'Adeline Rudolph']"
Scream: The TV Series,2015–2019,7.1,42544,"['Bex Taylor-Klaus', 'John Karna', 'Carlson Young']"
Blue Bloods,2010– ,7.7,42536,"['Bridget Moynahan', 'Will Estes', 'Len Cariou']"
Dawson's Creek,1998–2003,6.8,42467,"['Katie Holmes', 'Michelle Williams', 'Joshua Jackson']"
The Fairly OddParents,2001–2017,7.2,42337,"['Susanne Blakeslee', 'Daran Norris', 'Carlos Alazraqui']"
Resident Alien,2021– ,8.1,42208,"['Sara Tomko', 'Corey Reynolds', 'Alice Wetterlund']"
Impractical Jokers,2011– ,8.6,42047,"['Brian Quinn', 'Sal Vulcano', 'Joe Gatto']"
The Cleveland Show,2009–2013,5.6,42041,"['Sanaa Lathan', 'Kevin Michael Richardson', 'Jason Sudeikis']"
Torchwood,2006–2011,7.7,41885,"['Eve Myles', 'Kai Owen', 'Gareth David-Lloyd']"
The Old Man,2022– ,7.6,41639,"['John Lithgow', 'E.J. Bonilla', 'Bill Heck']"
Father Ted,1995–1998,8.7,41513,"[""Ardal O'Hanlon"", 'Frank Kelly', 'Pauline McLynn']"
Hannah Montana,2006–2011,5.2,41506,"['Emily Osment', 'Jason Earles', 'Billy Ray Cyrus']"
iCarly,2007–2012,6.7,41153,"['Jerry Trainor', 'Jennette McCurdy', 'Nathan Kress']"
The Kominsky Method,2018–2021,8.2,41115,"['Sarah Baker', 'Graham Rogers', 'Melissa Tang']"
Cowboy Bebop,2021,6.7,41110,"['Mustafa Shakir', 'Daniella Pineda', 'Elena Satine']"
Hemlock Grove,2013–2015,7,41105,"['Bill Skarsgård', 'Landon Liboiron', 'Joel de la Fuente']"
Drake & Josh,2004–2007,7.7,40974,"['Josh Peck', 'Miranda Cosgrove', 'Nancy Sullivan']"
Humans,2015–2018,7.9,40698,"['Gemma Chan', 'Lucy Carless', 'Tom Goodman-Hill']"
Servant,2019–2023,7.5,40666,"['Toby Kebbell', 'Nell Tiger Free', 'Rupert Grint']"
Law & Order,1990– ,7.8,40465,"['Jesse L. Martin', 'Dennis Farina', 'Sam Waterston']"
The Lincoln Lawyer,2022– ,7.7,40424,"['Neve Campbell', 'Becki Newton', 'Angus Sampson']"
The Ranch,2016–2020,7.5,40382,"['Sam Elliott', 'Grady Lee Richmond', 'Elisha Cuthbert']"
Star Wars: The Bad Batch,2021– ,7.8,40376,"['Dee Bradley Baker', 'Michelle Ang', 'Noshir Dalal']"
Happy!,2017–2019,8.1,40326,"['Ritchie Coster', 'Lili Mirojnick', 'Patton Oswalt']"
Animal Kingdom,2016–2022,8.2,40297,"['Ben Robson', 'Jake Weary', 'Finn Cole']"
Sabrina the Teenage Witch,1996–2003,6.7,40262,"['Caroline Rhea', 'Beth Broderick', 'Nick Bakay']"
Chicago P.D.,2014– ,8.1,40219,"['Patrick John Flueger', 'Marina Squerciati', 'LaRoyce Hawkins']"
MacGyver,1985–1992,7.6,39991,"['Dana Elcar', 'Bruce McGill', 'Robin Mossley']"
Empire,2015–2020,7.4,39959,"['Taraji P. Henson', 'Jussie Smollett', 'Bryshere Y. Gray']"
Hanna,2019–2021,7.6,39953,"['Mireille Enos', 'Áine Rose Daly', 'Cherrelle Skeete']"
Alcatraz,2012,6.9,39872,"['Jorge Garcia', 'Jonny Coyne', 'Parminder Nagra']"
The A-Team,1983–1987,7.5,39563,"['Mr. T', 'Dwight Schultz', 'Dirk Benedict']"
Jupiter's Legacy,2021,6.7,39490,"['Ben Daniels', 'Leslie Bibb', 'Andrew Horton']"
Blackadder,1982–1983,8,39255,"['Brian Blessed', 'Elspet Gray', 'Tim McInnerny']"
