Title,Year,Rating
Only Murders in the Building,2021– ,8.1
Bates Motel,2013–2017,8.1
Deadwood,2004–2006,8.6
The Fall,I) (2013–2016,8.1
Banshee,2013–2016,8.4
The Wheel of Time,2021– ,7.1
Under the Dome,2013–2015,6.5
Hunter x Hunter,2011–2014,9
The OA,2016–2019,7.8
Black Sails,2014–2017,8.2
Batman: The Animated Series,1992–1995,9
The Morning Show,I) (2019– ,8.2
DC's Legends of Tomorrow,2016–2022,6.8
Married... with Children,1987–1997,8.1
My Name Is Earl,2005–2009,7.8
Emily in Paris,2020– ,6.9
Titans,I) (2018–2023,7.5
The Man in the High Castle,2015–2019,7.9
Justified,2010–2015,8.6
Misfits,2009–2013,8.2
Star Wars: The Clone Wars,2008–2020,8.4
The Americans,2013–2018,8.4
The Leftovers,2014–2017,8.3
SpongeBob SquarePants,1999– ,8.2
Lost in Space,2018–2021,7.3
Oz,1997–2003,8.7
2 Broke Girls,2011–2017,6.6
Psych,2006–2014,8.4
Adventure Time,2010–2018,8.6
The Good Doctor,2017– ,8.1
Russian Doll,2019– ,7.8
Chilling Adventures of Sabrina,2018–2020,7.4
Making a Murderer,2015–2018,8.6
Billions,2016– ,8.4
American Crime Story,2016– ,8.4
Stargate SG-1,1997–2007,8.4
Fawlty Towers,1975–1979,8.8
The Terminal List,2022– ,7.9
Designated Survivor,2016–2019,7.5
1899,2022,7.4
The Night Manager,2016,8
Shadow and Bone,2021– ,7.6
Atypical,2017–2021,8.2
Legion,2017–2019,8.2
Dead to Me,2019–2022,8
The O.C.,2003–2007,7.5
The Orville,2017– ,8
Last Week Tonight with John Oliver,2014– ,8.9
Falling Skies,2011–2015,7.1
Locke & Key,2020–2022,7.3
The Inbetweeners,2008–2010,8.4
The Family Man,2019– ,8.7
The Following,2013– ,7.4
Ray Donovan,2013–2020,8.3
American Gods,2017–2021,7.6
See,2019–2022,7.6
Barry,2018– ,8.4
Skins,2007–2013,8.2
Frasier,1993–2004,8.2
The Outsider,2020,7.7
Narcos: Mexico,2018–2021,8.4
Star Trek,1966–1969,8.4
Charmed,1998–2006,7.1
The Twilight Zone,1959–1964,9.1
The Bear,2022– ,8.4
Agent Carter,2015–2016,7.9
CSI: Crime Scene Investigation,2000–2015,7.7
Revolution,2012–2014,6.6
Terra Nova,2011,6.7
Bob's Burgers,2011– ,8.2
The King of Queens,1998–2007,7.4
Merlin,2008–2012,7.9
The Strain,2014–2017,7.3
Big Mouth,2017– ,7.9
The Shield,2002–2008,8.7
One Tree Hill,2003–2012,7.8
What We Do in the Shadows,2019– ,8.6
Tiger King,2020–2021,7.5
Raised by Wolves,2020–2022,7.5
Good Omens,2019–2023,8
Louie,2010–2015,8.5
The West Wing,1999–2006,8.9
Star Trek: Picard,2020–2023,7.3
Atlanta,2016–2022,8.6
His Dark Materials,2019–2022,7.8
The Good Wife,2009–2016,8.4
Monk,2002–2009,8
Da Vinci's Demons,2013–2015,7.9
The Grand Tour,2016– ,8.7
Preacher,2016–2019,7.9
The Tudors,2007–2010,8.1
Burn Notice,2007–2013,8
Monty Python's Flying Circus,1969–1974,8.8
Scandal,2012–2018,7.7
Blindspot,2015–2020,7.3
Ash vs Evil Dead,2015–2018,8.4
Hawaii Five-0,2010–2020,7.4
Veronica Mars,2004–2019,8.4
Bosch,2014–2021,8.5
Marco Polo,2014–2016,8
Master of None,2015–2021,8.2
Unbreakable Kimmy Schmidt,2015–2020,7.6
Girls,2012–2017,7.4
Everybody Loves Raymond,1996–2005,7.2
Carnival Row,2019–2023,7.8
Angel,1999–2004,7.9
Manifest,2018– ,7.1
Star Trek: Voyager,1995–2001,7.8
Velma,2023– ,1.5
Santa Clarita Diet,2017–2019,7.8
iZombie,2015–2019,7.8
Twin Peaks,2017,8.5
TVF Pitchers,2015–2022,9.1
Castlevania,2017–2021,8.3
Limitless,2015–2016,7.6
Upload,2020– ,7.9
Ginny & Georgia,2021– ,7.5
Stargate: Atlantis,2004–2009,8.1
Young Sheldon,2017– ,7.6
Friday Night Lights,2006–2011,8.7
The Watcher,2022– ,6.5
My Hero Academia,2016– ,8.3
Space Force,2020–2022,6.7
Chappelle's Show,2003–2006,8.8
The Peripheral,2022– ,7.6
I Am Not Okay with This,2020,7.5
Shadowhunters,2016–2019,6.5
Halo,2022– ,7.1
Star Trek: Deep Space Nine,1993–1999,8.1
Steins;Gate,2011–2015,8.8
Disenchantment,2018– ,7.2
Outer Banks,2020– ,7.5
ER,1994–2009,7.9
A Series of Unfortunate Events,2017–2019,7.8
Foundation,2021– ,7.4
Flight of the Conchords,2007–2009,8.6
Line of Duty,2012–2021,8.7
Never Have I Ever,2020–2023,7.8
Peep Show,2003–2015,8.7
Sleepy Hollow,2013–2017,7.3
Ratched,2020– ,7.3
Continuum,I) (2012–2015,7.6
Quantico,2015–2018,6.7
The Shannara Chronicles,2016–2017,7.1
Flashforward,2009–2010,7.6
Superstore,2015–2021,7.8
Manhunt,II) (2017–2020,8.1
Terminator: The Sarah Connor Chronicles,2008–2009,7.6
The Last Man on Earth,2015–2018,7.3
The Last Ship,2014–2018,7.4
Full House,1987–1995,6.8
Black Books,2000–2004,8.5
Eastbound & Down,2009–2013,8.3
Chicago Fire,2012– ,8
M*A*S*H,1972–1983,8.4
Forever,2014–2015,8.2
Travelers,2016–2018,8
CSI: Miami,2002–2012,6.4
Anne with an E,2017–2019,8.7
Extras,2005–2007,8.3
The Flight Attendant,2020–2022,7.1
Veep,2012–2019,8.4
Pushing Daisies,2007–2009,8.4
Cheers,1982–1993,7.9
Wayward Pines,2015–2016,7.3
Will & Grace,1998–2020,7.3
Jericho,2006–2008,7.9
V,2009–2011,6.8
Snowpiercer,2020–2023,6.9
Heartstopper,2022– ,8.7
Nip/Tuck,2003–2010,7.7
Your Honor,II) (2020–2023,7.6
The Alienist,2018–2020,7.7
Spaced,1999– ,8.6
Scorpion,2014–2018,7
