Title,Year,Rating
MacGyver,2016–2021,5.3
The Summer I Turned Pretty,2022– ,7.4
Portlandia,2011–2018,7.8
Inspector Gadget,1983–1986,6.7
American Idol,2002– ,4.2
Friends from College,2017–2019,6.9
Perception,2012–2015,7.5
Last Resort,I) (2012–2013,7.3
Harry & Meghan,2022,4.9
Invader ZIM,2001–2006,8.4
Royal Pains,2009–2016,7.1
Sanctuary,2008–2011,7.3
Prodigal Son,2019–2021,7.7
Ripper Street,2012–2016,8.1
Moonlighting,1985–1989,7.6
Perry Mason,2020– ,7.6
Hell's Kitchen,2005– ,7.1
My Little Pony: Friendship Is Magic,2010–2020,7.7
Undone,2019– ,8.2
Daybreak,I) (2019,6.7
Queer as Folk,II) (1999–2005,8.5
RuPaul's Drag Race,2009– ,8.5
Winning Time: The Rise of the Lakers Dynasty,2022– ,8.3
Crazy Ex-Girlfriend,2015–2019,7.8
The Midnight Gospel,2020,8.2
Codename: Kids Next Door,2002–2008,7.2
Reno 911!,2003– ,7.9
Awake,2012,7.9
Cloak & Dagger,2018–2019,6.6
Gavin & Stacey,2007–2019,8.2
My So-Called Life,1994–1995,8.4
Everything Sucks!,2018,7.5
Lovesick,2014–2018,8
Knightfall,2017–2019,6.8
I'm Alan Partridge,1997–2002,8.6
Rocko's Modern Life,1993–1996,7.9
From Dusk Till Dawn: The Series,2014–2016,6.8
Avenue 5,2020–2022,6.6
Baby Daddy,2012–2017,7.3
Ringer,2011–2012,6.9
Them,2021– ,7.4
Ghosts,2021– ,7.9
Cow and Chicken,1997–1999,6.6
Just Shoot Me!,1997–2003,6.9
I Know This Much Is True,2020,8.1
Bull,2016–2022,7.1
Drawn Together,2004–2007,7.1
Catastrophe,2015–2019,8.2
Without a Trace,2002–2009,7
C.B. Strike,2017– ,7.9
That's So Raven,2003–2007,6.6
The Rehearsal,2022– ,8.6
Doctor Foster: A Woman Scorned,2015–2017,7.6
Dash & Lily,2020,7.5
Paradise PD,2018–2022,6.8
The Addams Family,1964–1966,8
Chip 'n' Dale Rescue Rangers,1989–1990,7.6
Absolutely Fabulous,1992–2012,8.2
The Secret Life of the American Teenager,2008–2013,4.9
Tales from the Loop,2020,7.4
Dave,2020– ,8.3
Jackie Chan Adventures,2000–2005,7.4
How I Met Your Father,2022– ,5.5
Drop Dead Diva,2009–2014,7.5
Go On,2012–2013,7.5
Dota: Dragon's Blood,2021– ,7.8
Snowfall,2017–2023,8.2
Medici,2016–2019,7.9
Pan Am,2011–2012,7
Tehran,2020– ,7.6
Shetland,2013– ,8.2
Unforgettable,2011–2016,6.8
Mr Inbetween,2018–2021,8.6
Dinosaurs,1991–1994,7.5
Looking,2014–2015,8.2
Kim's Convenience,2016–2021,8.2
Mayans M.C.,2018– ,7.6
The Penguins of Madagascar,2008–2015,7.5
The Suite Life on Deck,2008–2011,6.3
Shrinking,2023– ,8
Sweet Magnolias,2020– ,7.3
The Capture,2019– ,7.9
Vikingane,2016–2020,7.7
The Pink Panther Show,1969–2011,7.6
Intelligence,2014,6.8
Caliphate,2020,8.2
Lizzie McGuire,2001–2004,6.6
Insecure,2016–2021,8
Happy Days,1974–1984,7.4
The Bridge,I) (2013–2014,7.6
Friday Night Dinner,2011–2020,8.1
The Eric Andre Show,2012– ,8.6
Criminal: UK,2019–2020,7.6
Bosch: Legacy,2022– ,8.5
Star Trek: Lower Decks,2020– ,7.5
Night Sky,2022,7.4
Star Wars: Visions,2021– ,7
Queer Eye,2018– ,8.5
FBI,2018– ,7
Who Is America?,2018,8.3
Doug,1991–1994,7.4
Sliders,1995–2000,7.4
Stargirl,2020–2022,7.2
Blood of Zeus,2020– ,7.5
Kidding,2018–2020,8
Melissa & Joey,2010–2015,7
Glitch,2015–2019,7.2
Ghosts,2019– ,8.3
Police Squad!,1982,8.4
Leverage: Redemption,2021– ,8.2
Danny Phantom,2003–2007,7.1
He-Man and the Masters of the Universe,1983–1985,7.5
NCIS: New Orleans,2014–2021,6.8
Workin' Moms,2017–2023,7.8
"Love, Victor",2020–2022,8
Genius,I) (2017– ,8.2
JAG,1995–2005,6.6
The Lying Game,2011–2013,7.3
Family Ties,1982–1989,7.2
The Tick,2016–2019,7.4
The Devil's Hour,2022– ,7.7
Outcast,2016–2017,7.3
Please Like Me,2013–2016,8.5
Body of Proof,2011–2013,7.1
Girlboss,2017,7
Kingdom,2014–2017,8.5
Bitten,2014–2016,6.9
Ned's Declassified School Survival Guide,2004–2007,7.4
Fresh Meat,2011–2016,7.8
The Adventures of Tintin,1991–1992,8.3
The Tonight Show Starring Jimmy Fallon,2014– ,7.1
Late Night with Conan O'Brien,1993–2009,8.2
Human Target,2010–2011,7.8
The Drew Carey Show,1995–2004,6.9
The Future Diary,2011–2013,7.5
Deadly Class,2018–2019,7.5
The Tourist,2022,7
Thundercats,1985–1989,7.9
America's Next Top Model,2003– ,5.6
My Mad Fat Diary,2013–2015,8.4
666 Park Avenue,2012–2013,6.8
Young Rock,2021– ,7.9
Flashpoint,2008–2012,7.8
Through the Wormhole,2010–2017,8.6
Alfred Hitchcock Presents,1955–1962,8.5
Star-Crossed,2014,7.1
Boss,2011–2012,8.1
The New Batman Adventures,1997–1999,8.4
Doc Martin,2004–2022,8.4
Da Ali G Show,2000–2004,8
Rookie Blue,2010–2015,7.7
Inside No. 9,2014– ,8.5
Criminal Justice,2019– ,8.1
Happy Tree Friends,2000–2016,7
On My Block,2018–2021,7.9
In Treatment,2008–2021,8.3
Heartland,II) (2007– ,8.5
Trollhunters: Tales of Arcadia,2016–2018,8.4
The Chair,2021,7.2
Gypsy,2017,6.8
Smash,2012–2013,7.7
The Purge,2018–2019,6.5
"Walker, Texas Ranger",1993–2001,5.6
Stalker,2014–2015,7.5
White Lines,2020,6.6
Northern Exposure,1990–1995,8.4
Lockwood & Co,2023– ,7.4
The Mick,2017–2018,7.8
Versailles,2015–2018,7.9
Reservation Dogs,2021– ,8.1
Motherland: Fort Salem,2020–2022,7.3
Justice League Unlimited,2004–2006,8.7
Electric Dreams,2017–2018,7.2
All in the Family,1971–1979,8.4
Shameless,2004–2013,8
"Two Guys, a Girl and a Pizza Place",1998–2001,7.4
Metalocalypse,2006–2013,8.3
Uncoupled,2022,7
The Ellen DeGeneres Show,2003–2023,6.7
Dickinson,2019–2021,7.6
