Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
The OA,7.8,107399,"['Jason Isaacs', 'Scott Wilson', 'Alice Krige']","['Drama', 'Fantasy', 'Mystery']",2016,2019
Black Sails,8.2,107265,"['Toby Stephens', 'Hannah New', 'Zach McGowan']","['Action', 'Adventure', 'Drama']",2014,2017
Batman: The Animated Series,9.0,107128,"['Loren Lester', 'Efrem Zimbalist Jr.', 'Bob Hastings']","['Animation', 'Action', 'Adventure']",1992,1995
The Morning Show,8.2,106773,"['Reese Witherspoon', 'Billy Crudup', 'Mark Duplass']",['Drama'],2019,2023
DC's Legends of Tomorrow,6.8,106636,"['Amy Louise Pemberton', 'Dominic Purcell', 'Nick Zano']","['Action', 'Adventure', 'Drama']",2016,2022
Married... with Children,8.1,106306,"['Christina Applegate', 'Katey Sagal', 'Amanda Bearse']",['Comedy'],1987,1997
My Name Is Earl,7.8,105389,"['Ethan Suplee', 'Jaime Pressly', 'Nadine Velazquez']",['Comedy'],2005,2009
Emily in Paris,6.9,104684,"['Philippine Leroy-Beaulieu', 'Ashley Park', 'Samuel Arnold']","['Comedy', 'Drama', 'Romance']",2020,2023
Titans,7.5,104220,"['Anna Diop', 'Ryan Potter', 'Teagan Croft']","['Action', 'Adventure', 'Crime']",2018,2023
The Man in the High Castle,7.9,103905,"['Luke Kleintank', 'Rufus Sewell', 'Rupert Evans']","['Drama', 'Sci-Fi', 'Thriller']",2015,2019
Justified,8.6,103531,"['Nick Searcy', 'Joelle Carter', 'Jacob Pitts']","['Action', 'Crime', 'Drama']",2010,2015
Misfits,8.2,103192,"['Joe Gilgun', 'Iwan Rheon', 'Lauren Socha']","['Comedy', 'Drama', 'Fantasy']",2009,2013
Star Wars: The Clone Wars,8.4,102851,"['Dee Bradley Baker', 'Matt Lanter', 'James Arnold Taylor']","['Animation', 'Action', 'Adventure']",2008,2020
The Americans,8.4,102562,"['Matthew Rhys', 'Keidrich Sellati', 'Holly Taylor']","['Crime', 'Drama', 'Mystery']",2013,2018
The Leftovers,8.3,102543,"['Amy Brenneman', 'Christopher Eccleston', 'Liv Tyler']","['Drama', 'Fantasy', 'Mystery']",2014,2017
SpongeBob SquarePants,8.2,102272,"['Rodger Bumpass', 'Bill Fagerbakke', 'Clancy Brown']","['Animation', 'Comedy', 'Family']",1999,2023
Lost in Space,7.3,101482,"['Toby Stephens', 'Maxwell Jenkins', 'Taylor Russell']","['Adventure', 'Drama', 'Family']",2018,2021
Oz,8.7,101465,"['J.K. Simmons', 'Lee Tergesen', 'Dean Winters']","['Crime', 'Drama', 'Thriller']",1997,2003
2 Broke Girls,6.6,100337,"['Beth Behrs', 'Garrett Morris', 'Jonathan Kite']",['Comedy'],2011,2017
Psych,8.4,100199,"['Dulé Hill', 'Timothy Omundson', 'Corbin Bernsen']","['Comedy', 'Crime', 'Mystery']",2006,2014
Adventure Time,8.6,99288,"['Jeremy Shada', 'Tom Kenny', 'Hynden Walch']","['Animation', 'Action', 'Adventure']",2010,2018
The Good Doctor,8.1,99201,"['Hill Harper', 'Richard Schiff', 'Christina Chang']",['Drama'],2017,2023
Russian Doll,7.8,99164,"['Charlie Barnett', 'Greta Lee', 'Elizabeth Ashley']","['Comedy', 'Drama', 'Mystery']",2019,2023
Chilling Adventures of Sabrina,7.4,99126,"['Ross Lynch', 'Lucy Davis', 'Chance Perdomo']","['Drama', 'Fantasy', 'Horror']",2018,2020
Making a Murderer,8.6,98022,"['Dolores Avery', 'Laura Nirider', 'Allan Avery']","['Documentary', 'Crime']",2015,2018
Billions,8.4,96568,"['Damian Lewis', 'Maggie Siff', 'David Costabile']",['Drama'],2016,2023
American Crime Story,8.4,96454,"['Annaleigh Ashford', 'Sterling K. Brown', 'Kenneth Choi']","['Biography', 'Crime', 'Drama']",2016,2023
Stargate SG-1,8.4,95941,"['Michael Shanks', 'Amanda Tapping', 'Christopher Judge']","['Action', 'Adventure', 'Drama']",1997,2007
Fawlty Towers,8.8,95508,"['Prunella Scales', 'Andrew Sachs', 'Connie Booth']",['Comedy'],1975,1979
The Terminal List,7.9,95258,"['Constance Wu', 'Taylor Kitsch', 'Riley Keough']","['Action', 'Drama', 'Thriller']",2022,2023
Shadow and Bone,7.6,94712,"['Ben Barnes', 'Archie Renaux', 'Freddy Carter']","['Action', 'Adventure', 'Drama']",2021,2023
1899,7.4,94409,"['Aneurin Barnard', 'Andreas Pietschmann', 'Miguel Bernardeau']","['Drama', 'Horror', 'Mystery']",2022,2023
Designated Survivor,7.5,94327,"['Adan Canto', 'Italia Ricci', 'Kal Penn']","['Action', 'Drama', 'Mystery']",2016,2019
The Night Manager,8.0,93956,"['Hugh Laurie', 'Elizabeth Debicki', 'Olivia Colman']","['Crime', 'Drama', 'Mystery']",2016,2023
Atypical,8.2,93521,"['Keir Gilchrist', 'Brigette Lundy-Paine', 'Michael Rapaport']","['Comedy', 'Drama']",2017,2021
Legion,8.2,92899,"['Rachel Keller', 'Aubrey Plaza', 'Bill Irwin']","['Action', 'Drama', 'Sci-Fi']",2017,2019
Dead to Me,8.0,91828,"['Linda Cardellini', 'Sam McCarthy', 'Luke Roessler']","['Comedy', 'Crime', 'Drama']",2019,2022
The O.C.,7.5,91654,"['Adam Brody', 'Peter Gallagher', 'Kelly Rowan']","['Comedy', 'Drama', 'Romance']",2003,2007
The Orville,8.0,91257,"['Adrianne Palicki', 'Penny Johnson Jerald', 'Scott Grimes']","['Adventure', 'Comedy', 'Drama']",2017,2023
Last Week Tonight with John Oliver,8.9,90929,"['David Kaye', 'Ryan Barger', 'Noel MacNeal']","['Comedy', 'News', 'Talk-Show']",2014,2023
Falling Skies,7.1,90732,"['Drew Roy', 'Maxim Knight', 'Will Patton']","['Action', 'Adventure', 'Drama']",2011,2015
Locke & Key,7.3,90154,"['Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott']","['Drama', 'Fantasy', 'Horror']",2020,2022
The Inbetweeners,8.4,89923,"['James Buckley', 'Blake Harrison', 'Joe Thomas']",['Comedy'],2008,2010
The Family Man,8.7,89550,"['Samantha Ruth Prabhu', 'Priyamani', 'Sharib Hashmi']","['Action', 'Comedy', 'Drama']",2019,2023
The Following,7.4,89423,"['James Purefoy', 'Shawn Ashmore', 'Valorie Curry']","['Crime', 'Drama', 'Horror']",2013,2015
Ray Donovan,8.3,89056,"['Eddie Marsan', 'Dash Mihok', 'Pooch Hall']","['Crime', 'Drama']",2013,2020
American Gods,7.6,88494,"['Emily Browning', 'Yetide Badaki', 'Bruce Langley']","['Drama', 'Fantasy', 'Mystery']",2017,2021
See,7.6,88330,"['Sylvia Hoeks', 'Hera Hilmar', 'Christian Camargo']","['Action', 'Drama', 'Sci-Fi']",2019,2022
Barry,8.4,87824,"['Stephen Root', 'Sarah Goldberg', 'Anthony Carrigan']","['Action', 'Comedy', 'Crime']",2018,2023
Skins,8.2,87184,"['Nicholas Hoult', 'Joe Dempsie', 'Hannah Murray']",['Drama'],2007,2013
Frasier,8.2,87160,"['Jane Leeves', 'David Hyde Pierce', 'Peri Gilpin']",['Comedy'],1993,2004
The Outsider,7.7,86857,"['Bill Camp', 'Jeremy Bobb', 'Mare Winningham']","['Crime', 'Drama', 'Horror']",2020,2023
Narcos: Mexico,8.4,86712,"['José María Yazpik', 'Alejandro Edda', 'Alfonso Dosal']","['Crime', 'Drama']",2018,2021
Star Trek,8.4,86478,"['Leonard Nimoy', 'DeForest Kelley', 'Nichelle Nichols']","['Action', 'Adventure', 'Sci-Fi']",1966,1969
Charmed,7.1,86205,"['Alyssa Milano', 'Brian Krause', 'Rose McGowan']","['Drama', 'Fantasy', 'Mystery']",1998,2006
The Twilight Zone,9.1,86196,"['Robert McCord', 'Jay Overholts', 'James Turley']","['Drama', 'Fantasy', 'Horror']",1959,1964
The Bear,8.4,85907,"['Ebon Moss-Bachrach', 'Ayo Edebiri', 'Lionel Boyce']","['Comedy', 'Drama']",2022,2023
Agent Carter,7.9,85407,"[""James D'Arcy"", 'Enver Gjokaj', 'Chad Michael Murray']","['Action', 'Adventure', 'Crime']",2015,2016
CSI: Crime Scene Investigation,7.7,85343,"['Laurence Fishburne', 'Ted Danson', 'George Eads']","['Crime', 'Drama', 'Mystery']",2000,2015
Revolution,6.6,84536,"['Tracy Spiridakos', 'Giancarlo Esposito', 'Zak Orth']","['Action', 'Adventure', 'Drama']",2012,2014
Bob's Burgers,8.2,84470,"['Dan Mintz', 'Eugene Mirman', 'John Roberts']","['Animation', 'Comedy']",2011,2023
Terra Nova,6.7,84442,"['Shelley Conn', 'Christine Adams', 'Allison Miller']","['Adventure', 'Drama', 'Mystery']",2011,2023
The King of Queens,7.4,84268,"['Leah Remini', 'Jerry Stiller', 'Patton Oswalt']",['Comedy'],1998,2007
Merlin,7.9,83745,"['Colin Morgan', 'Bradley James', 'Richard Wilson']","['Adventure', 'Drama', 'Fantasy']",2008,2012
The Strain,7.3,83041,"['David Bradley', 'Kevin Durand', 'Jonathan Hyde']","['Drama', 'Fantasy', 'Horror']",2014,2017
Big Mouth,7.9,82695,"['John Mulaney', 'Jessi Klein', 'Jason Mantzoukas']","['Animation', 'Comedy', 'Romance']",2017,2023
The Shield,8.7,82653,"['Walton Goggins', 'Michael Jace', 'Jay Karnes']","['Crime', 'Drama', 'Thriller']",2002,2008
One Tree Hill,7.8,82642,"['James Lafferty', 'Hilarie Burton', 'Bethany Joy Lenz']","['Drama', 'Romance', 'Sport']",2003,2012
What We Do in the Shadows,8.6,82582,"['Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']","['Comedy', 'Fantasy', 'Horror']",2019,2023
Tiger King,7.5,82054,"['Carole Baskin', 'John Reinke', 'Jeff Lowe']","['Documentary', 'Biography', 'Crime']",2020,2021
Raised by Wolves,7.5,81085,"['Amanda Collin', 'Abubakar Salim', 'Winta McGrath']","['Drama', 'Fantasy', 'Sci-Fi']",2020,2022
Good Omens,8.0,81071,"['Michael Sheen', 'Frances McDormand', 'Sam Taylor Buck']","['Comedy', 'Fantasy']",2019,2023
Louie,8.5,80005,"['Hadley Delany', 'Ursula Parker', 'Pamela Adlon']","['Comedy', 'Drama']",2010,2015
The West Wing,8.9,79344,"['Rob Lowe', 'Allison Janney', 'John Spencer']",['Drama'],1999,2006
Star Trek: Picard,7.3,78613,"['Michelle Hurd', 'Jeri Ryan', 'Alison Pill']","['Action', 'Adventure', 'Drama']",2020,2023
Atlanta,8.6,78387,"['Brian Tyree Henry', 'LaKeith Stanfield', 'Zazie Beetz']","['Comedy', 'Drama', 'Music']",2016,2022
His Dark Materials,7.8,78299,"['Kit Connor', 'Ruth Wilson', 'Amir Wilson']","['Adventure', 'Drama', 'Family']",2019,2022
The Good Wife,8.4,77892,"['Chris Noth', 'Josh Charles', 'Matt Czuchry']","['Crime', 'Drama', 'Mystery']",2009,2016
Monk,8.0,77701,"['Jason Gray-Stanford', 'Ted Levine', 'Traylor Howard']","['Comedy', 'Crime', 'Drama']",2002,2009
The Grand Tour,8.7,77615,"['James May', 'Richard Hammond', 'Abbie Eaton']","['Comedy', 'Sport', 'Talk-Show']",2016,2023
Da Vinci's Demons,7.9,77614,"['Gregg Chilingirian', 'Eros Vlahos', 'Laura Haddock']","['Adventure', 'Biography', 'Drama']",2013,2015
Preacher,7.9,76939,"['Joe Gilgun', 'Ruth Negga', 'Ian Colletti']","['Adventure', 'Drama', 'Fantasy']",2016,2019
The Tudors,8.1,76811,"['Henry Cavill', 'Anthony Brophy', 'James Frain']","['Drama', 'History', 'Romance']",2007,2010
Burn Notice,8.0,76054,"['Gabrielle Anwar', 'Bruce Campbell', 'Sharon Gless']","['Action', 'Crime', 'Drama']",2007,2013
Monty Python's Flying Circus,8.8,75811,"['John Cleese', 'Terry Gilliam', 'Eric Idle']",['Comedy'],1969,1974
Scandal,7.7,75652,"['Darby Stanchfield', 'Katie Lowes', 'Guillermo Diaz']","['Drama', 'Thriller']",2012,2018
Blindspot,7.3,75629,"['Jaimie Alexander', 'Audrey Esparza', 'Ashley Johnson']","['Action', 'Crime', 'Drama']",2015,2020
Ash vs Evil Dead,8.4,75408,"['Ray Santiago', 'Dana DeLorenzo', 'Lucy Lawless']","['Action', 'Comedy', 'Fantasy']",2015,2018
Hawaii Five-0,7.4,75194,"['Scott Caan', 'Taylor Wily', 'Daniel Dae Kim']","['Action', 'Crime', 'Drama']",2010,2020
Veronica Mars,8.4,74961,"['Jason Dohring', 'Enrico Colantoni', 'Percy Daggs III']","['Crime', 'Drama', 'Mystery']",2004,2019
Bosch,8.5,74675,"['Jamie Hector', 'Amy Aquino', 'Lance Reddick']","['Crime', 'Drama']",2014,2021
Marco Polo,8.0,74555,"['Benedict Wong', 'Joan Chen', 'Remy Hii']","['Action', 'Adventure', 'Drama']",2014,2016
Master of None,8.2,74249,"['Eric Wareheim', 'Lena Waithe', 'Noël Wells']","['Comedy', 'Drama']",2015,2021
Unbreakable Kimmy Schmidt,7.6,74204,"['Jane Krakowski', 'Tituss Burgess', 'Carol Kane']",['Comedy'],2015,2020
Girls,7.4,74050,"['Allison Williams', 'Jemima Kirke', 'Adam Driver']","['Comedy', 'Drama']",2012,2017
Everybody Loves Raymond,7.2,72913,"['Patricia Heaton', 'Brad Garrett', 'Doris Roberts']",['Comedy'],1996,2005
Carnival Row,7.8,72884,"['Cara Delevingne', 'Simon McBurney', 'Tamzin Merchant']","['Crime', 'Drama', 'Fantasy']",2019,2023
Angel,7.9,72182,"['Charisma Carpenter', 'Alexis Denisof', 'J. August Richards']","['Action', 'Drama', 'Fantasy']",1999,2004
Manifest,7.1,71628,"['Josh Dallas', 'J.R. Ramirez', 'Luna Blaise']","['Drama', 'Mystery', 'Sci-Fi']",2018,2023
Star Trek: Voyager,7.8,71542,"['Robert Beltran', 'Roxann Dawson', 'Robert Duncan McNeill']","['Action', 'Adventure', 'Sci-Fi']",1995,2001
Velma,1.5,71152,"['Glenn Howerton', 'Sam Richardson', 'Constance Wu']","['Animation', 'Adventure', 'Comedy']",2023,2023
Santa Clarita Diet,7.8,70696,"['Timothy Olyphant', 'Liv Hewson', 'Skyler Gisondo']","['Comedy', 'Horror']",2017,2019
iZombie,7.8,70174,"['Malcolm Goodwin', 'Rahul Kohli', 'Robert Buckley']","['Comedy', 'Crime', 'Drama']",2015,2019
Twin Peaks,8.5,69924,"['Sheryl Lee', 'Michael Horse', 'Chrysta Bell']","['Crime', 'Drama', 'Horror']",2017,2023
TVF Pitchers,9.1,69837,"['Arunabh Kumar', 'Abhay Mahajan', 'Gopal Datt']","['Comedy', 'Drama']",2015,2022
Castlevania,8.3,69211,"['James Callis', 'Alejandra Reynoso', 'Theo James']","['Animation', 'Action', 'Adventure']",2017,2021
Limitless,7.6,68911,"['Jennifer Carpenter', 'Hill Harper', 'Mary Elizabeth Mastrantonio']","['Comedy', 'Crime', 'Drama']",2015,2016
Upload,7.9,68902,"['Andy Allo', 'Allegra Edwards', 'Zainab Johnson']","['Comedy', 'Mystery', 'Sci-Fi']",2020,2023
Ginny & Georgia,7.5,68538,"['Antonia Gentry', 'Diesel La Torraca', 'Felix Mallard']","['Comedy', 'Drama']",2021,2023
Young Sheldon,7.6,68423,"['Zoe Perry', 'Lance Barber', 'Montana Jordan']",['Comedy'],2017,2023
Stargate: Atlantis,8.1,68422,"['Rachel Luttrell', 'David Hewlett', 'Jason Momoa']","['Action', 'Adventure', 'Drama']",2004,2009
Friday Night Lights,8.7,68324,"['Connie Britton', 'Zach Gilford', 'Aimee Teegarden']","['Drama', 'Sport']",2006,2011
The Watcher,6.5,67592,"['Bobby Cannavale', 'Mia Farrow', 'Terry Kinney']","['Drama', 'Horror', 'Mystery']",2022,2023
My Hero Academia,8.3,67446,"['Justin Briner', 'Nobuhiko Okamoto', 'Ayane Sakura']","['Animation', 'Action', 'Adventure']",2016,2023
Space Force,6.7,66968,"['John Malkovich', 'Ben Schwartz', 'Diana Silvers']",['Comedy'],2020,2022
Chappelle's Show,8.8,66934,"['Donnell Rawlings', 'Rudy Rush', 'Charlie Murphy']","['Comedy', 'Music']",2003,2006
The Peripheral,7.6,66499,"['Gary Carr', 'Jack Reynor', 'JJ Feild']","['Drama', 'Mystery', 'Sci-Fi']",2022,2023
I Am Not Okay with This,7.5,66059,"['Wyatt Oleff', 'Sofia Bryant', 'Kathleen Rose Perkins']","['Comedy', 'Drama', 'Fantasy']",2020,2023
Shadowhunters,6.5,65778,"['Dominic Sherwood', 'Alberto Rosende', 'Matthew Daddario']","['Action', 'Drama', 'Fantasy']",2016,2019
Halo,7.1,65412,"['Shabana Azmi', 'Natasha Culzac', 'Olive Gray']","['Action', 'Adventure', 'Sci-Fi']",2022,2023
Star Trek: Deep Space Nine,8.1,65294,"['Rene Auberjonois', 'Cirroc Lofton', 'Alexander Siddig']","['Action', 'Adventure', 'Drama']",1993,1999
Steins;Gate,8.8,65206,"['Asami Imai', 'Kana Hanazawa', 'Ashly Burch']","['Animation', 'Comedy', 'Drama']",2011,2015
Disenchantment,7.2,64628,"['Eric André', 'Nat Faxon', 'John DiMaggio']","['Animation', 'Action', 'Adventure']",2018,2023
Outer Banks,7.5,63880,"['Madison Bailey', 'Chase Stokes', 'J.D.']","['Action', 'Crime', 'Drama']",2020,2023
ER,7.9,63409,"['George Clooney', 'Julianna Margulies', 'Eriq La Salle']","['Drama', 'Romance']",1994,2009
Foundation,7.4,63123,"['Jared Harris', 'Lee Pace', 'Leah Harvey']","['Drama', 'Sci-Fi']",2021,2023
A Series of Unfortunate Events,7.8,63097,"['Patrick Warburton', 'Malina Pauli Weissman', 'Louis Hynes']","['Adventure', 'Comedy', 'Drama']",2017,2019
Flight of the Conchords,8.6,62955,"['Bret McKenzie', 'Rhys Darby', 'Kristen Schaal']","['Comedy', 'Music', 'Musical']",2007,2009
Line of Duty,8.7,62425,"['Vicky McClure', 'Adrian Dunbar', 'Craig Parkinson']","['Crime', 'Drama', 'Mystery']",2012,2021
Never Have I Ever,7.8,62295,"['Poorna Jagannathan', 'Darren Barnet', 'John McEnroe']","['Comedy', 'Drama']",2020,2023
Peep Show,8.7,62218,"['Robert Webb', 'Matt King', 'Olivia Colman']",['Comedy'],2003,2015
Sleepy Hollow,7.3,62113,"['Lyndie Greenwood', 'Nicole Beharie', 'Orlando Jones']","['Action', 'Adventure', 'Crime']",2013,2017
Ratched,7.3,61927,"['Finn Wittrock', 'Cynthia Nixon', 'Judy Davis']","['Crime', 'Drama', 'History']",2020,2023
Continuum,7.6,61853,"['Victor Webster', 'Erik Knudsen', 'Stephen Lobo']","['Action', 'Sci-Fi', 'Thriller']",2012,2015
The Shannara Chronicles,7.1,61793,"['Ivana Baquero', 'Manu Bennett', 'Aaron Jakubenko']","['Adventure', 'Drama', 'Fantasy']",2016,2017
Quantico,6.7,61792,"['Jake McLaughlin', 'Johanna Braddy', 'Aunjanue Ellis']","['Crime', 'Drama', 'Mystery']",2015,2018
Superstore,7.8,61322,"['Lauren Ash', 'Colton Dunn', 'Nico Santos']",['Comedy'],2015,2021
Flashforward,7.6,61286,"['Joseph Fiennes', 'Jack Davenport', 'Zachary Knighton']","['Drama', 'Mystery', 'Sci-Fi']",2009,2010
Manhunt,8.1,61183,"['Arliss Howard', 'Kelly Jenrette', 'Cameron Britton']","['Biography', 'Crime', 'Drama']",2017,2020
Terminator: The Sarah Connor Chronicles,7.6,61121,"['Thomas Dekker', 'Summer Glau', 'Richard T. Jones']","['Action', 'Drama', 'Fantasy']",2008,2009
The Last Man on Earth,7.3,60487,"['January Jones', 'Cleopatra Coleman', 'Kristen Schaal']","['Action', 'Comedy', 'Drama']",2015,2018
The Last Ship,7.4,60454,"['Adam Baldwin', 'Charles Parnell', 'Travis Van Winkle']","['Action', 'Drama', 'Sci-Fi']",2014,2018
Full House,6.8,60181,"['John Stamos', 'Dave Coulier', 'Candace Cameron Bure']","['Comedy', 'Drama', 'Family']",1987,1995
Black Books,8.5,59969,"['Bill Bailey', 'Tamsin Greig', 'Paul Beech']",['Comedy'],2000,2004
Eastbound & Down,8.3,59921,"['Steve Little', 'Katy Mixon', 'Elizabeth De Razzo']","['Comedy', 'Drama', 'Sport']",2009,2013
Chicago Fire,8.0,59315,"['Christian Stolte', 'Eamonn Walker', 'Joe Minoso']","['Action', 'Drama']",2012,2023
M*A*S*H,8.4,59276,"['Wayne Rogers', 'Loretta Swit', 'Jamie Farr']","['Comedy', 'Drama', 'War']",1972,1983
Forever,8.2,58967,"['Alana De La Garza', 'Joel David Moore', 'Donnie Keshawarz']","['Crime', 'Drama', 'Fantasy']",2014,2015
Travelers,8.0,58934,"['MacKenzie Porter', 'Nesta Cooper', 'Jared Abrahamson']","['Drama', 'Mystery', 'Sci-Fi']",2016,2018
CSI: Miami,6.4,58730,"['Emily Procter', 'Adam Rodriguez', 'Rex Linn']","['Action', 'Crime', 'Drama']",2002,2012
Anne with an E,8.7,58273,"['Geraldine James', 'R.H. Thomson', 'Dalila Bela']","['Drama', 'Family']",2017,2019
Extras,8.3,58215,"['Ashley Jensen', 'Stephen Merchant', 'Shaun Williamson']","['Comedy', 'Drama']",2005,2007
The Flight Attendant,7.1,58204,"['Zosia Mamet', 'Griffin Matthews', 'Rosie Perez']","['Comedy', 'Drama', 'Mystery']",2020,2022
Veep,8.4,58160,"['Tony Hale', 'Anna Chlumsky', 'Reid Scott']",['Comedy'],2012,2019
Pushing Daisies,8.4,57817,"['Anna Friel', 'Chi McBride', 'Jim Dale']","['Comedy', 'Drama', 'Fantasy']",2007,2009
Cheers,7.9,57496,"['Rhea Perlman', 'John Ratzenberger', 'George Wendt']","['Comedy', 'Drama']",1982,1993
Wayward Pines,7.3,57370,"['Toby Jones', 'Shannyn Sossamon', 'Hope Davis']","['Drama', 'Mystery', 'Sci-Fi']",2015,2016
Will & Grace,7.3,57293,"['Debra Messing', 'Megan Mullally', 'Sean Hayes']","['Comedy', 'Romance']",1998,2020
Jericho,7.9,57273,"['Lennie James', 'Ashley Scott', 'Kenneth Mitchell']","['Action', 'Drama', 'Mystery']",2006,2008
V,6.8,57173,"['Morris Chestnut', 'Joel Gretsch', 'Logan Huffman']","['Drama', 'Sci-Fi', 'Thriller']",2009,2011
Heartstopper,8.7,57066,"['Kit Connor', 'Yasmin Finney', 'William Gao']","['Drama', 'Romance']",2022,2023
Snowpiercer,6.9,57053,"['Mickey Sumner', 'Alison Wright', 'Iddo Goldberg']","['Action', 'Drama', 'Sci-Fi']",2020,2023
Nip/Tuck,7.7,56941,"['Julian McMahon', 'Joely Richardson', 'John Hensley']",['Drama'],2003,2010
Your Honor,7.6,56581,"['Hope Davis', 'Michael Stuhlbarg', 'Lilli Kay']","['Crime', 'Drama', 'Thriller']",2020,2023
The Alienist,7.7,56107,"['Dakota Fanning', 'Luke Evans', 'Robert Wisdom']","['Crime', 'Drama', 'Mystery']",2018,2020
Scorpion,7.0,55563,"['Katharine McPhee', 'Eddie Kaye Thomas', 'Jadyn Wong']","['Action', 'Crime', 'Drama']",2014,2018
Spaced,8.6,55562,"['Jessica Hynes', 'Julia Deakin', 'Nick Frost']","['Action', 'Comedy']",1999,2001
Doom Patrol,7.8,55451,"['April Bowlby', 'Matt Bomer', 'Brendan Fraser']","['Action', 'Adventure', 'Comedy']",2019,2023
Eureka,7.9,55339,"['Salli Richardson-Whitfield', 'Erica Cerra', 'Neil Grayston']","['Adventure', 'Comedy', 'Drama']",2006,2012
Cyberpunk: Edgerunners,8.3,55315,"['Kenichiro Ohashi', 'Emi Lo', 'Aoi Yûki']","['Animation', 'Action', 'Adventure']",2022,2023
Samurai Jack,8.5,55262,"['Mako', 'Kevin Michael Richardson', 'Jeff Bennett']","['Animation', 'Action', 'Adventure']",2001,2017
A Discovery of Witches,7.9,55185,"['Teresa Palmer', 'Alex Kingston', 'Gregg Chilingirian']","['Drama', 'Fantasy', 'Romance']",2018,2022
Blue Mountain State,8.3,55055,"['Alan Ritchson', 'Chris Romano', 'Ed Marinaro']","['Comedy', 'Sport']",2010,2011
Star Trek: Enterprise,7.5,55034,"['John Billingsley', 'Jolene Blalock', 'Dominic Keating']","['Action', 'Adventure', 'Drama']",2001,2005
NCIS: Los Angeles,6.8,54926,"['Daniela Ruah', 'LL Cool J', 'Eric Christian Olsen']","['Action', 'Crime', 'Drama']",2009,2023
Warehouse 13,7.6,54909,"['Joanne Kelly', 'Saul Rubinek', 'Allison Scagliotti']","['Drama', 'Mystery', 'Sci-Fi']",2009,2014
Good Girls,7.7,54676,"['Retta', 'Mae Whitman', 'Reno Wilson']","['Comedy', 'Crime', 'Drama']",2018,2021
Bloodline,7.9,54618,"['Ben Mendelsohn', 'Linda Cardellini', 'Sissy Spacek']","['Drama', 'Thriller']",2015,2017
King of the Hill,7.5,54603,"['Kathy Najimy', 'Pamela Adlon', 'Johnny Hardwick']","['Animation', 'Comedy', 'Drama']",1997,2010
Constantine,7.5,54424,"['Harold Perrineau', 'Charles Halford', 'Angélica Celaya']","['Crime', 'Drama', 'Fantasy']",2014,2015
Hart of Dixie,7.7,54383,"['Jaime King', 'Cress Williams', 'Wilson Bethel']","['Comedy', 'Drama', 'Romance']",2011,2015
Sweet Tooth,7.8,54352,"['Christian Convery', 'Adeel Akhtar', 'Stefania LaVie Owen']","['Action', 'Adventure', 'Drama']",2021,2023
All of Us Are Dead,7.5,54339,"['Chan-Young Yoon', 'Yi-Hyun Cho', 'Park Solomon']","['Action', 'Drama', 'Fantasy']",2022,2023
Blackadder Goes Forth,8.8,54124,"['Tony Robinson', 'Stephen Fry', 'Hugh Laurie']","['Comedy', 'War']",1989,2023
Yellowjackets,7.9,53958,"['Tawny Cypress', 'Christina Ricci', 'Juliette Lewis']","['Drama', 'Horror', 'Mystery']",2021,2023
Grace and Frankie,8.2,53696,"['Lily Tomlin', 'Sam Waterston', 'Martin Sheen']",['Comedy'],2015,2022
Workaholics,8.1,53567,"['Adam Devine', 'Anders Holm', 'Maribeth Monroe']",['Comedy'],2011,2017
3rd Rock from the Sun,7.8,53502,"['Jane Curtin', 'Kristen Johnston', 'French Stewart']","['Comedy', 'Family', 'Sci-Fi']",1996,2001
MythBusters,8.3,53369,"['Jamie Hyneman', 'Adam Savage', 'Kari Byron']","['Documentary', 'Mystery', 'Reality-TV']",2003,2018
Only Fools and Horses,9.0,53289,"['Nicholas Lyndhurst', 'Roger Lloyd Pack', 'Buster Merryfield']",['Comedy'],1981,2003
Dirk Gently's Holistic Detective Agency,8.2,53283,"['Elijah Wood', 'Hannah Marks', 'Jade Eshete']","['Action', 'Adventure', 'Comedy']",2016,2017
Hell on Wheels,8.3,53254,"['Colm Meaney', 'Robin McLeavy', 'Phil Burke']","['Drama', 'Western']",2011,2016
Jane the Virgin,7.9,53114,"['Andrea Navedo', 'Yael Grobglas', 'Justin Baldoni']",['Comedy'],2014,2019
The Magicians,7.6,52689,"['Hale Appleman', 'Arjun Gupta', 'Summer Bishil']","['Drama', 'Fantasy', 'Mystery']",2015,2020
Archive 81,7.3,52509,"['Dina Shihabi', 'Evan Jonigkeit', 'Julia Chan']","['Drama', 'Horror', 'Mystery']",2022,2023
Happy Valley,8.5,52505,"['Siobhan Finneran', 'James Norton', 'Rhys Connah']","['Crime', 'Drama', 'Thriller']",2014,2023
Leverage,7.9,52334,"['Gina Bellman', 'Christian Kane', 'Beth Riesgraf']","['Crime', 'Mystery', 'Thriller']",2008,2012
Nikita,7.7,52226,"['Shane West', 'Lyndsy Fonseca', 'Aaron Stanford']","['Action', 'Crime', 'Drama']",2010,2013
The Borgias,7.9,52150,"['François Arnaud', 'Holliday Grainger', 'Peter Sullivan']","['Crime', 'Drama', 'History']",2011,2013
Alias,7.6,52064,"['Ron Rifkin', 'Carl Lumbly', 'Kevin Weisman']","['Action', 'Drama', 'Mystery']",2001,2006
